Category1,Category2,query
Functional Consequences,Ease of Control, It was easy to know how to perform actions in the game
Functional Consequences,Ease of Control, The actions to control the game were clear to me
Functional Consequences,Ease of Control, I thought the game was easy to control
Functional Consequences,Goals and Rules, I grasped the overall goal of the game
Functional Consequences,Goals and Rules, The goals of the game were clear to me
Functional Consequences,Goals and Rules, I understood the objectives of the game
Functional Consequences,Challenge, The game was not too easy and not too hard to play
Functional Consequences,Challenge, The game was challenging but not too challenging
Functional Consequences,Challenge, The challenges in the game were at the right level of difficulty for me
Functional Consequences,Progress Feedback, The game informed me of my progress in the game
Functional Consequences,Progress Feedback, I could easily assess how I was performing in the game
Functional Consequences,Progress Feedback, The game gave clear feedback on my progress towards the goals
Functional Consequences,Audiovisual Appeal, I enjoyed the way the game was styled
Functional Consequences,Audiovisual Appeal, I liked the look and feel of the game
Functional Consequences,Audiovisual Appeal, I appreciated the aesthetics of the game
Psychosocial Consequences,Meaning, Playing the game was meaningful to me
Psychosocial Consequences,Meaning, The game felt relevant to me
Psychosocial Consequences,Meaning, Playing this game was valuable to me
Psychosocial Consequences,Curiosity, I wanted to explore how the game evolved
Psychosocial Consequences,Curiosity, I wanted to find out how the game progressed
Psychosocial Consequences,Curiosity, I felt eager to discover how the game continued
Psychosocial Consequences,Mastery, I felt I was good at playing this game
Psychosocial Consequences,Mastery, I felt capable while playing the game
Psychosocial Consequences,Mastery, I felt a sense of mastery playing this game
Psychosocial Consequences,Immersion, I was no longer aware of my surroundings while I was playing
Psychosocial Consequences,Immersion, I was immersed in the game
Psychosocial Consequences,Immersion, I was fully focused on the game
Psychosocial Consequences,Autonomy, I felt free to play the game in my own way
Psychosocial Consequences,Autonomy, I felt like I had choices regarding how I wanted to play this game
Psychosocial Consequences,Autonomy, I felt a sense of freedom about how I wanted to play this game
